state_fips,state_name,year,actual_saidi,predicted_saidi,actual_saifi,predicted_saifi
01,Alabama,2013,237.27728933757638,,1.44692999922217,
01,Alabama,2014,206.09764182569967,,1.4762803730571563,
01,Alabama,2015,212.25637542886318,,1.6993627065337469,
01,Alabama,2016,174.77935808153384,,1.5710655501435298,
01,Alabama,2017,314.46030008021467,,1.9586623282026367,
01,Alabama,2018,307.96222698640184,,1.5221041467242955,
01,Alabama,2019,174.13579431313093,342.54061185943,1.4104429066883073,1.677796008236245
01,Alabama,2020,1743.4983557516452,371.43411549618116,2.3805756776026104,1.8066365322302944
01,Alabama,2021,252.81467136100795,506.87734012339246,1.515870738490039,1.7909018028345902
01,Alabama,2022,210.06216718440314,471.0048181858922,1.44778113491906,1.7867972561842898
01,Alabama,2023,294.17694855824925,463.92392393318727,1.5737230793061663,1.7720864654829716
01,Alabama,2024,279.3831726440878,413.355966232956,1.8695453548582779,1.6057347597414895
02,Alaska,2013,360.7465957194702,,2.302073881276949,
02,Alaska,2014,313.8121434079714,,2.4835207431697413,
02,Alaska,2015,605.4438019385096,,2.5554299644732863,
02,Alaska,2016,192.48515248963025,,2.2610774117453047,
02,Alaska,2017,152.66185976742267,,1.7094751238508543,
02,Alaska,2018,335.34698162957386,,3.136743688650547,
02,Alaska,2019,280.11513261363876,357.88053193421507,2.1917384564347473,2.1609207600566607
02,Alaska,2020,268.0115688125866,361.1094109969066,2.194897617279739,2.0537078321261437
02,Alaska,2021,379.07736481269467,365.6207530624781,2.132376414441279,2.107568629508544
02,Alaska,2022,575.2321389139661,368.09588842836297,3.523295502930674,2.0361320481960004
02,Alaska,2023,374.8493516921882,405.5048693802415,2.701473062192035,2.296358060513534
02,Alaska,2024,327.14534291613245,356.55282095155735,2.5907533625268484,2.220647469951968
04,Arizona,2013,75.24231593565487,,0.8239905330507438,
04,Arizona,2014,87.15246548575628,,0.8404116487950426,
04,Arizona,2015,90.85188318081416,,0.856916365630906,
04,Arizona,2016,86.25485554426275,,0.833143713001529,
04,Arizona,2017,90.70968367975455,,0.8845506045685828,
04,Arizona,2018,114.64008255955993,,0.9427172088346649,
04,Arizona,2019,85.81014548907116,160.0069708390323,0.8864263618779659,0.9781524858181587
04,Arizona,2020,71.93532791243383,152.71667965494228,0.8177716352572686,0.9389695187278977
04,Arizona,2021,106.17583069899571,162.80188811823498,1.2197141955608732,0.9249686843165399
04,Arizona,2022,139.73404020671188,161.00658017374417,1.0526853664878404,0.9033328565597205
04,Arizona,2023,106.83618870810938,168.58951755760714,0.9840589138183179,0.948083129799291
04,Arizona,2024,87.4664159498614,169.3633147231554,0.9876980134118977,0.9491147861517882
05,Arkansas,2013,276.7293312457708,,1.7959841309018172,
