state_fips,state_name,state_abbreviation,year,actual_saidi,predicted_saidi,actual_saifi,predicted_saifi,actual_drought,predicted_drought,actual_compliance,predicted_compliance
01,,AL,2010,,,,,15.303212898175088,,1.0029251984956093,
01,,AL,2011,,,,,33.49193800770633,,0.3124999999999995,
01,,AL,2012,,,,,25.88481341340669,,0.6850736973219842,
01,Alabama,AL,2013,237.27728933757638,,1.44692999922217,,5.16333133452254,,1.3038079470198642,
01,Alabama,AL,2014,206.09764182569967,,1.4762803730571563,,8.129656563996921,,0.7018992568125503,
01,Alabama,AL,2015,212.25637542886318,,1.6993627065337469,,9.040757072778018,,0.49433573635427347,
01,Alabama,AL,2016,174.77935808153384,,1.5710655501435298,,25.35554035956058,,0.2671049928087113,
01,Alabama,AL,2017,314.46030008021467,,1.9586623282026367,,13.223973048192217,,0.2460024600246,
01,Alabama,AL,2018,307.96222698640184,,1.5221041467242955,,8.644291379254408,,0.3270645952575632,
01,Alabama,AL,2019,174.13579431313093,342.54061185943,1.4104429066883073,1.677796008236245,9.06250549766664,9.117604290652944,0.468622656886715,0.33434712895305624
01,Alabama,AL,2020,1743.4983557516452,371.43411549618116,2.3805756776026104,1.8066365322302944,2.2233590101100216,2.4433842885344066,0.4172461752433932,0.4518335511847793
01,Alabama,AL,2021,252.81467136100795,506.87734012339246,1.515870738490039,1.7909018028345902,2.558297872802931,2.7759354600862713,0.3366336633663366,0.3475581519267321
01,Alabama,AL,2022,210.06216718440314,471.0048181858922,1.44778113491906,1.7867972561842898,8.71909997448454,8.725778438377164,0.43332676777624524,0.3568915305447043
01,Alabama,AL,2023,294.17694855824925,463.92392393318727,1.5737230793061663,1.7720864654829716,16.662716466825135,16.211504588023104,0.390777647518561,0.3448433366768784
01,Alabama,AL,2024,279.3831726440878,413.355966232956,1.8695453548582779,1.6057347597414895,19.731413109640368,19.824325398945984,1.0265349602944007,0.34788156650129276
02,,AK,2010,,,,,6.647384394393121,,40.19607843137255,
02,,AK,2011,,,,,2.635423325259294,,40.858725761772845,
02,,AK,2012,,,,,3.639384483527814,,51.84678522571819,
02,Alaska,AK,2013,360.7465957194702,,2.302073881276949,,10.006567189135394,,45.39295392953929,
02,Alaska,AK,2014,313.8121434079714,,2.4835207431697413,,0.9496292328632226,,44.91180461329714,
02,Alaska,AK,2015,605.4438019385096,,2.5554299644732863,,7.339536729844699,,45.663956639566386,
02,Alaska,AK,2016,192.48515248963025,,2.2610774117453047,,2.620678886356818,,51.81695827725437,
02,Alaska,AK,2017,152.66185976742267,,1.7094751238508543,,3.833716230381347,,42.91497975708502,
02,Alaska,AK,2018,335.34698162957386,,3.136743688650547,,2.242998115843148,,39.4843962008141,
02,Alaska,AK,2019,280.11513261363876,357.88053193421507,2.1917384564347473,2.1609207600566607,4.745351037172912,4.985427120181711,41.961852861035425,35.36927529095579
02,Alaska,AK,2020,268.0115688125866,361.1094109969066,2.194897617279739,2.0537078321261437,1.6817201645575541,2.1346604690327196,40.10914051841746,35.86006505600277
02,Alaska,AK,2021,379.07736481269467,365.6207530624781,2.132376414441279,2.107568629508544,2.9336295002945665,3.27772193891298,35.10204081632653,35.382431010249604
02,Alaska,AK,2022,575.2321389139661,368.09588842836297,3.523295502930674,2.0361320481960004,1.765893343946993,2.1298010525466795,38.96457765667575,34.382267818603545
02,Alaska,AK,2023,374.8493516921882,405.5048693802415,2.701473062192035,2.296358060513534,0.3539419600049045,0.8306981252446258,46.802721088435376,29.015016176222083
02,Alaska,AK,2024,327.14534291613245,356.55282095155735,2.5907533625268484,2.220647469951968,0.5130832152051595,0.9857665788479915,46.40434192672998,34.402161661515166
04,,AZ,2010,,,,,19.71152686905695,,8.459497424691731,
04,,AZ,2011,,,,,37.47276280402179,,5.345280395488942,
04,,AZ,2012,,,,,51.864719404107035,,6.223306894447825,
04,Arizona,AZ,2013,75.24231593565487,,0.8239905330507438,,45.130709996168235,,4.9886963074604305,
04,Arizona,AZ,2014,87.15246548575628,,0.8404116487950426,,48.862521121310856,,5.07945937917718,
04,Arizona,AZ,2015,90.85188318081416,,0.856916365630906,,35.65111844287163,,4.097760866383721,
04,Arizona,AZ,2016,86.25485554426275,,0.833143713001529,,27.883724977057753,,3.513318934485237,
04,Arizona,AZ,2017,90.70968367975455,,0.8845506045685828,,16.629724540858767,,3.8024971623155426,
04,Arizona,AZ,2018,114.64008255955993,,0.9427172088346649,,62.313909216687094,,3.2523729759910607,
04,Arizona,AZ,2019,85.81014548907116,160.0069708390323,0.8864263618779659,0.9781524858181587,18.90577132245398,19.96308063107668,3.3049917718047137,2.4961458017561045
04,Arizona,AZ,2020,71.93532791243383,152.71667965494228,0.8177716352572686,0.9389695187278977,38.749831061949095,37.57635528963335,4.007235285932929,3.102502392999335
04,Arizona,AZ,2021,106.17583069899571,162.80188811823498,1.2197141955608732,0.9249686843165399,70.56241301087839,71.07639570757507,3.519384107781132,4.409497779944124
04,Arizona,AZ,2022,139.73404020671188,161.00658017374417,1.0526853664878404,0.9033328565597205,43.471895778511744,43.3650091554904,4.206241519674344,3.2182624426621107
04,Arizona,AZ,2023,106.83618870810938,168.58951755760714,0.9840589138183179,0.948083129799291,18.74060631799419,19.180605913995887,3.717122920021464,3.018497378631008
04,Arizona,AZ,2024,87.4664159498614,169.3633147231554,0.9876980134118977,0.9491147861517882,27.75963768278397,27.899577638759077,7.014293276866055,3.2267353829225334
05,,AR,2010,,,,,16.877488920109233,,7.18685831622176,
05,,AR,2011,,,,,35.42369045945337,,6.494389663379796,
05,,AR,2012,,,,,36.45411935268905,,6.942092786996269,
05,Arkansas,AR,2013,276.7293312457708,,1.7959841309018172,,14.967227165833126,,8.445945945945939,
05,Arkansas,AR,2014,235.12598920897742,,1.7928459833876798,,5.4309941713124115,,7.7467160660154875,
05,Arkansas,AR,2015,306.7377133496985,,1.9815322967213398,,9.256274558098351,,9.261744966442945,
05,Arkansas,AR,2016,397.33417560297835,,2.0329517890369897,,9.344716404713635,,8.723262032085557,
05,Arkansas,AR,2017,395.4337017496095,,2.045697089506903,,17.517421691208423,,6.258322237017309,
05,Arkansas,AR,2018,322.87994969113004,,1.7707283541970282,,11.52561345995375,,5.776892430278881,
05,Arkansas,AR,2019,437.7143584313132,401.5886756945207,1.9339914614254912,1.842180032785274,1.6303813687995339,1.8425600518356349,6.421714664018536,5.106244013710106
05,Arkansas,AR,2020,708.4399618963339,409.64842749139797,1.8328523542997441,1.884789747472388,2.296946965443872,2.335259149808701,7.067020570670206,6.183578011574248
05,Arkansas,AR,2021,315.89988370299034,457.75537744724335,1.6579592286240767,1.8263982218035086,5.798340386432486,6.193550854461146,4.823257350512055,5.818199063515081
05,Arkansas,AR,2022,415.53505837795365,482.89983088248397,2.11026610901656,1.850190439773018,25.56288328014982,25.004330742290126,3.249097472924187,4.428812779639367
05,Arkansas,AR,2023,911.2385574105904,508.478636895713,2.1023152214476166,1.9730649873917683,8.972547831557758,9.151858325065811,5.863192182410421,3.213761648936521
05,Arkansas,AR,2024,509.07169765826217,515.0975377645667,2.1275760561353723,1.9963065146519239,14.069359567439133,14.638432285023729,6.912144702842375,3.9793048633935566
06,,CA,2010,,,,,7.875338971509634,,5.152733118971008,
06,,CA,2011,,,,,1.7996040441966146,,5.16261026676581,
06,,CA,2012,,,,,34.67398510079898,,5.0441428383185745,
06,California,CA,2013,98.94852332224741,,0.8325785820573407,,48.72221060827615,,5.455638626025973,
06,California,CA,2014,108.80178868567953,,0.9114256218800207,,81.17430238882436,,5.499261409282843,
06,California,CA,2015,118.36214961658214,,0.9249704805302409,,81.07540118923484,,5.22311330454448,
06,California,CA,2016,117.06260723035324,,1.0267744492403912,,64.7447752235187,,4.005210861069242,
06,California,CA,2017,233.44379393451516,,1.2841212853967965,,10.391427730532875,,3.675835070415348,
06,California,CA,2018,195.21543955951245,,0.9545930329793818,,29.202484278194973,,3.2634328168978226,
06,California,CA,2019,587.5750513873991,243.7137525495432,1.261246824269472,1.1970884373246327,6.283244600946597,7.8870702578912,3.1188194127491125,2.9641337263340777
06,California,CA,2020,267.0754027722461,256.49879354222963,1.0772032301171162,1.0946888399575214,29.405336484264016,28.748954155987082,2.5273224043715734,2.9760473199091737
06,California,CA,2021,325.21908027112084,309.5488866838365,1.3093006959155178,1.1390017566275559,74.85381338682254,74.42126996216274,2.5387582049906556,2.2974701226976992
06,California,CA,2022,198.50223447265842,300.33349640709974,1.2476880536513468,1.2176845952907895,67.205242277802,66.55803638878476,2.456230031948857,2.4615869505934285
06,California,CA,2023,346.5726581805323,289.89519420213657,1.397105081013725,1.1859380540100264,12.580120215902658,14.184366838820289,2.437343678219576,2.096406468985071
06,California,CA,2024,279.640706666216,312.0799087295813,1.3446809999525509,1.2581335669738891,6.986703687421793,7.653065864243714,4.247427918201352,1.8671912430303281
08,,CO,2010,,,,,9.063053617288029,,5.269413629160056,
08,,CO,2011,,,,,23.154453047515315,,4.451386177274491,
08,,CO,2012,,,,,53.22824861982394,,2.984212552945702,
08,Colorado,CO,2013,128.99623228861435,,1.086781141680387,,53.678023484410716,,3.813318155947631,
08,Colorado,CO,2014,84.03886129352281,,0.9265546029938866,,18.59864766032158,,4.801046142350083,
08,Colorado,CO,2015,110.059592412814,,1.0110439589716858,,11.705194782506814,,5.683901723505677,
08,Colorado,CO,2016,165.45878197569897,,1.1550532212762261,,7.770684750202199,,6.0606060606060534,
08,Colorado,CO,2017,228.51386179390394,,1.193138446152468,,9.939640459259694,,6.818586434039511,
08,Colorado,CO,2018,113.28599665017772,,0.9730758201162507,,48.438362325701966,,7.512725996138318,
08,Colorado,CO,2019,180.52829810146682,166.23851331070765,1.0789994037771438,1.0350487636978207,18.425009789618045,19.110048138822254,7.259465092045843,7.706819192959457
08,Colorado,CO,2020,134.20774290448682,194.20191233306977,0.9981139883536563,1.058967645562404,50.51830747676108,49.16033450617764,6.704682909970612,8.154471664948835
08,Colorado,CO,2021,180.90345031917798,213.33360583121296,1.1029714439382226,1.0645485656340086,49.13263896646719,49.14241565996247,6.604747162022693,6.477057904721507
08,Colorado,CO,2022,141.5320402681416,238.0802728370512,1.0313252712243712,1.0654040837470806,42.018616007880716,41.76690469177231,7.876302750726121,6.0617196933448145
08,Colorado,CO,2023,99.15140962676688,226.82915518351237,0.9154267049229039,1.0671181162526941,14.31893513966256,14.856824164576548,7.07036535859269,6.61562612195929
08,Colorado,CO,2024,255.0533508573595,200.7322893283659,1.40881180316245,1.0037119919409963,12.438984604177245,12.975111582091015,8.382033728502238,6.674302491524726
09,,CT,2010,,,,,5.930515496669302,,8.270466610785133,
09,,CT,2011,,,,,0.0,,9.250487601003064,
09,,CT,2012,,,,,13.833176030309449,,8.623087621696799,
09,Connecticut,CT,2013,179.60753690813027,,0.9308053157380924,,8.8261713271897,,6.979977753058941,
09,Connecticut,CT,2014,86.29502518978309,,0.7421273085005385,,10.338813095037066,,6.952169076751934,
09,Connecticut,CT,2015,103.31455971509281,,0.700194712485833,,20.410158819054775,,6.96572861521315,
09,Connecticut,CT,2016,174.04556590022457,,1.0626797073144763,,34.09853618500535,,3.1564245810055835,
09,Connecticut,CT,2017,291.3296094098203,,0.9469488733415726,,20.605480556848065,,5.622377622377613,
09,Connecticut,CT,2018,655.5375747485391,,1.2546832681903155,,1.5332418131049421,,4.839160839160831,
09,Connecticut,CT,2019,236.36419934959815,312.20299952901536,0.971349696162426,1.1107725475317336,1.546918803953854,1.7759812003534436,3.168816601233874,3.7338821067311683
09,Connecticut,CT,2020,2642.6328790395414,301.7577588686368,1.8270305833227662,1.088986528358689,14.305488096200342,14.269485398144129,3.240223463687147,2.960428158531504
09,Connecticut,CT,2021,145.2269522911276,302.5991223256304,0.8953460788148134,1.1556567640755102,1.7918232422906433,2.5216164300524118,2.965631929046561,2.883167217649267
09,Connecticut,CT,2022,157.40326124729847,330.8589470584598,0.8205168711683517,1.098406500486856,15.939545168500672,15.588489409578983,4.172423321359485,2.4795892518358222
09,Connecticut,CT,2023,164.64397615334147,314.34224014983823,0.8718820415177247,0.9844633418836082,3.7541567643122353,4.386836817386646,4.504257072232902,3.1277515875558453
09,Connecticut,CT,2024,153.64120345932508,250.67928931307878,0.8755382875637482,0.9995360767762659,10.68340767245903,9.626809341861062,12.54763200870982,3.039720357436396
10,,DE,2010,,,,,5.923476799390672,,7.555555555555555,
10,,DE,2011,,,,,10.306268637809621,,8.370044052863433,
10,,DE,2012,,,,,27.427762674041496,,9.279475982532746,
10,Delaware,DE,2013,157.71532108984627,,1.4600155689431713,,0.07700180525322008,,7.034632034632033,
10,Delaware,DE,2014,169.05767049681324,,1.4154359681926934,,0.12249158061478169,,6.002143622722398,
10,Delaware,DE,2015,189.9048015604076,,1.52150436760669,,0.6392838893437212,,5.307855626326962,
10,Delaware,DE,2016,149.09695839406336,,1.3500675235213278,,1.8444574799267994,,1.9999999999999993,
10,Delaware,DE,2017,153.91430360836773,,1.127501917760651,,5.989455924152372,,1.148225469728601,
10,Delaware,DE,2018,135.91024628063585,,1.0319628050296623,,1.9653823039908076,,2.585315408479835,
10,Delaware,DE,2019,101.55153172334084,209.69988518533546,0.9760483582662244,1.1923721224912491,4.509045081027125,4.620357080785343,1.2282497441146367,1.7136418180593451
10,Delaware,DE,2020,271.8529881971197,238.16607385645415,1.5104779404235569,1.2568671970395011,1.375221499906844,2.0028993776386597,1.512096774193548,1.0085154501618918
10,Delaware,DE,2021,64.33619333804417,253.67595065955365,0.9626996954355584,1.2856741065741892,1.41938243868037,1.4631192928252088,2.089552238805969,0.9419503421684204
10,Delaware,DE,2022,79.7588344434396,210.61182019096336,0.8533155936372978,1.1861356285068183,5.28721549463087,6.354100463946465,1.176470588235294,1.1059559533948744
10,Delaware,DE,2023,108.15338681427453,227.44091293414073,0.8301128703029118,1.16653523693522,4.212401662635926,4.945337149115402,1.4492753623188406,1.0873685276530531
10,Delaware,DE,2024,116.1312313284075,202.3165276373943,0.8427353602683016,1.024871154285589,19.374608331331228,18.132148265698007,1.2380952380952377,0.901421387311339
11,,DC,2010,,,,,3.7777307692307693,,0.8264462809917356,
11,,DC,2011,,,,,7.577307692307692,,0.1612903225806451,
11,,DC,2012,,,,,17.821269230769232,,0.6289308176100629,
11,District of Columbia,DC,2013,124.0,,0.88,,1.8867924528301887,,0.9202453987730059,
11,District of Columbia,DC,2014,96.0,,0.69,,0.0,,0.6024096385542168,
11,District of Columbia,DC,2015,112.43,,0.686,,1.5384615384615385,,0.7385524372230426,
11,District of Columbia,DC,2016,115.0,,0.82,,7.112576923076923,,0.5813953488372092,
11,District of Columbia,DC,2017,57.53,,0.553,,22.240307692307695,,0.4304160688665709,
11,District of Columbia,DC,2018,109.24,,0.643,,15.005769230769232,,0.284090909090909,
11,District of Columbia,DC,2019,77.0,158.39180265877332,0.59,0.737713248219622,5.835849056603774,6.2885225224045085,0.1412429378531073,0.24501474730168873
11,District of Columbia,DC,2020,44.0,183.08881797190773,0.4,0.6917954865385136,0.3591538461538461,0.9972670995272123,0.0,0.2123255540635419
11,District of Columbia,DC,2021,52.0,153.71550942026283,0.45,0.5396549262723886,1.5384615384615385,1.8157364588517408,0.1492537313432835,0.1619923127151133
11,District of Columbia,DC,2022,33.687,148.04064077404882,0.302,0.5676885136400756,3.9063846153846153,4.688502109967745,0.1481481481481481,0.17120823881719238
11,District of Columbia,DC,2023,71.87,140.72336305948573,0.37,0.5788955726944349,15.85896153846154,15.532119338329021,0.1464128843338213,0.16840478618872007
11,District of Columbia,DC,2024,32.582,148.663552302201,0.271,0.5577080783094819,20.10554716981132,18.903504713526313,0.5788712011577424,0.19343138197845994
12,,FL,2010,,,,,10.357616410600981,,2.15430330043509,
12,,FL,2011,,,,,39.627021925664216,,2.109571788413084,
12,,FL,2012,,,,,26.19033882725194,,1.782198735882274,
12,Florida,FL,2013,87.00365233314649,,1.1256640306559984,,9.548981404034075,,1.5445990180032658,
12,Florida,FL,2014,92.087079393026,,1.1476225469465797,,2.7513425506504747,,1.4002216178100062,
12,Florida,FL,2015,85.42665971638513,,1.0909995605924578,,6.823602993473719,,1.909095405311821,
12,Florida,FL,2016,352.0645223240301,,1.3570250663707368,,4.0398305016103615,,0.9889950065448192,
12,Florida,FL,2017,2504.1938626335445,,2.0169559915276305,,12.384260186284548,,0.7055346331696601,
12,Florida,FL,2018,325.35706008045975,,1.1287870602042434,,6.651771663041712,,0.7433545048223907,
12,Florida,FL,2019,88.99183221067221,385.4263100177215,1.012147101658008,1.3168860150217891,7.936162389337164,8.33386058754763,0.8328680439233157,0.9283479310975927
12,Florida,FL,2020,188.74920844858323,321.9291758692795,1.1707254568288237,1.3232062089061456,7.8554544632245955,8.294781483681325,1.0374693159186632,0.9913067052394672
12,Florida,FL,2021,80.83518437147286,257.6493859050643,0.9289101913942139,1.1754994297581725,3.575977332679567,4.108406438251233,0.8792416540733591,0.9054524315270296
12,Florida,FL,2022,1146.33618566219,273.26868375724075,1.4801514674164606,1.1094502276945455,9.653195484454468,9.818634176465828,0.9012224502543018,0.7888925117694319
12,Florida,FL,2023,160.10073141644915,313.0778004553302,1.0149027264322636,1.320394959470095,16.248977963120947,16.61562358284846,0.7414191635047281,0.8005149641130044
